anidbid, title_type, language, title
51	main	x-jat	Love Hina Christmas Special: Silent Eve
51	official	ja	ラブひなクリスマススペシャル ～サイレント・イヴ～
51	official	en	Love Hina Christmas Movie
51	official	fi	Love Hina Christmas Special
51	official	de	Love Hina: Christmas Special
51	official	es	Love Hina: especial de Navidad
51	official	fr	Love Hina Spécial - Christmas
51	short	x-jat	lh christmas
51	short	en	lhcs
51	short	en	lhw
51	synonym	ru	Любовь и Хина - рождественский спецвыпуск
51	synonym	ru	С любовью, Хина - рождественский спецвыпуск
52	main	x-jat	Love Hina Haru Special: Kimi Sakura Chiru Nakare!!
52	official	fr	Love Hina Spécial - Spring
52	official	en	Love Hina Spring Movie
52	official	sv	Love Hina - Spring Special
52	official	de	Love Hina: Spring Special
52	official	ja	ラブひな春スペシャル ～キミサクラチルナカレ!!～
52	short	en	lhs
52	short	en	lhss
52	synonym	es	Love Hina: especial de primavera
52	synonym	en	Love Hina Spring Special: Don`t Let the Blooming Blossoms Wither and Fall!
52	synonym	ru	Любовь и Хина - весенний спецвыпуск
52	synonym	ru	С любовью, Хина - весенний спецвыпуск
53	main	x-jat	Trigun
53	official	ko	트라이건
53	official	ja	トライガン
53	official	pt-BR	Trigun
53	official	ca	Trigun
53	official	es	Trigun
53	official	cs	Trigun
53	official	ro	Trigun
53	official	pl	Trigun
53	official	es-LA	Trigun
53	official	pt	Trigun
53	official	hu	Trigun
53	official	fr	Trigun
53	official	de	Trigun
53	official	it	Trigun
53	official	en	Trigun
53	official	el	Ο Άνθρωπος των 60 Εκατομμυρίων Δολαρίων
53	synonym	he	טריגאן
53	synonym	ru	Трайган
53	synonym	uk	Трайґан
53	synonym	uk	Триган
53	synonym	bg	Тригун
53	synonym	ru	Тригун
54	main	x-jat	Hanaukyou Maid Tai
54	official	fr	Monsieur est servi !
54	official	ja	花右京メイド隊
54	short	x-jat	HM
54	synonym	en	Hanaukyo Maids
54	synonym	x-jat	Hanaukyou Maids
54	synonym	es	Hanaukyou Maid Tai
54	synonym	en	Hanaukyou Maid Team
54	synonym	en	Maid in Hanaukyo
55	main	x-jat	eX-Driver
55	official	ja	エクスドライバー
55	official	de	éX-Driver
55	official	it	éX-Driver
55	short	x-jat	ex-D
