id, releasetitle, country
794	Out of Sight	UK
795	Operation Junkyard	US
796	Journey to the Center of the Earth	US
7997	Match Game (1998)	US
798	Maple Town Story	JP
799	Wedding Peach	JP
800	Bachelors Walk	IE
801	Sharpe	UK
802	How to Survive a Marriage	US
803	American Gladiators (1989)	US
804	Chiller	UK
805	McDonald's Young Entertainers	NZ
806	The Eleventh Hour (AU)	AU
807	Cannonball	CA
808	Oliver Twist (1999)	UK
809	The Eleventh Hour (CA)	CA
810	Sharman	UK
811	Horace and Tina	AU
812	Custer's Last Stand-Up	UK
813	The Riordans	IE
814	Worst Case Scenarios	US
815	Outside Edge	UK
816	Bootleg	UK
817	Love Thy Neighbour (UK)	UK
818	Run, Buddy, Run	US
819	The Veil	US
820	The Sanford Arms	US
821	Daniel Deronda	UK
822	Little Muppet Monsters	US
823	Arjuna	JP
824	Patrick Kielty Almost Live!	UK
825	Band Of Gold	UK
826	Scratch + Burn	US
827	Chaser Non-Stop News Network	AU
828	Strange Paradise	CA
829	The Super	US
830	Designers' Challenge	US
831	Come Outside	UK
832	The Dreamstone	UK
833	Marsupilami	US
834	Uh-oh!	CA
835	Carry on Laughing	UK
836	Sykes	UK
837	Ultraman: The Ultimate Hero	US
838	Theodore Tugboat	CA
839	Welcher and Welcher	AU
840	Korg: 70,000 B.C.	US
841	FM Nation	US
842	Hyper Police	JP
843	Battle Force: Andromeda	US
844	Ninja Cadets	JP
845	Magic Knight Rayearth	JP
846	The Righteous Apples	US
847	Scaredy Camp	US
848	Fancy Lala	JP
849	Peep Show	UK
850	Runaway Bay	UK
851	My Living Doll	US
14694	Frosty's Winter Wonderland	US
853	Roman Holidays	US
854	Avenger Penguins	UK
855	The Groovenians	US
856	Vets in Practice	UK
857	Something Stupid	AU
858	James Bond, Jr.	US
860	TV Land Legends: The 60 Minutes Interviews	US
861	Raw Toonage	US
862	Inhumanoids	US
863	A Flame in the Wind	US
864	The Blobheads	CA
865	Wild West	UK
866	Stan the Man	UK
867	Bless This House (UK)	UK
868	El Hazard	JP
869	Inside TV Land	US
870	Arc the Lad	JP
871	Bad Cop, Bad Cop	AU
872	The River (1988)	UK
873	Cutting It	UK
874	Is Harry On The Boat	UK
875	Nice Guy Eddie	UK
876	Bellbird	AU
877	Noir (US)	AJ
878	The Magic Roundabout	UK
879	Max and Ruby	CA
880	Boogiepop Phantom	JP
881	Vandread (US)	AJ
882	tlc	UK
884	Suzy's World	NZ
885	The Queens Nose	UK
886	The Wild House	UK
887	The Real McCoy	UK
888	Welcome To Eltingville	US
889	Master Keaton	JP
890	Brain PowerD	JP
891	Cutter to Houston	US
892	Born Sloppy	UK
893	Star Dates	US
894	Popstars: Ireland	IE
895	The Vacant Lot	CA
896	Suspicion	US
897	Almost Live!	US
898	Aquila	UK
899	Crossroads (2003)	UK
900	Sesame Park	CA
901	Groundling Marsh	CA
902	SlamBall	US
903	Final Justice with Erin Brockovich	US
904	Solid Gold Hits	US
905	The Big Arvo	AU
906	Spine Chillers	UK
907	Children of the Stones	UK
908	Play of the Month	UK
909	The Wednesday Play	UK
910	In Loving Memory	UK
911	The Maxx	US
912	The DuPont Show of the Week	US
913	Dino Babies	CA
914	The New Adventures of Black Beauty	UK
915	Star of the Family	US
916	Weinerville	US
917	Please Sir !	UK
918	Gadget Boy and Heather	US
919	Chuck Finn	AU
920	Having It Off	UK
921	Clochemerle	UK
922	Thirty-Minute Theatre	UK
923	Starting Out (UK)	UK
924	Paddington Bear	UK
925	Chewin' The Fat	UK
926	Eat My Shorts	AU
927	The Dream Team with Annabelle and Michael	US
928	Bernard's Watch	UK
929	Comedy Playhouse	UK
930	Eco-Challenge	US
931	Code Name: Foxfire	US
932	Detective School	US
933	Kingston: Confidential	US
934	One in a Million	US
935	Absolutely	UK
936	The FBI Files	US
937	History Bites	CA
938	The Contender (1980)	US
939	A Mind To Kill	UK
940	Ivan the Terrible	US
941	Legmen	US
942	Hey Monie!	US
943	The Onedin Line	UK
944	Celebrity Boxing	US
945	Ryan	AU
946	The Karen Dunbar Show	UK
947	Almost There!	US
948	Pongwiffy	UK
949	.hack//SIGN (JP)	JP
950	Escape from Experiment Island	US
952	The Wrong Coast	CA
12249	Karen's Song	US
954	Mr. Bogus	US
955	13 Demon Street	SE
956	Patrol Boat	AU
957	Marion and Geoff	UK
958	Telephone Time	US
959	Chobits	JP
960	Bobby Dazzler	AU
961	Rentaghost	UK
962	Red Serge	CA
963	Strassman	NZ
964	Boarding House: North Shore	US
965	The Awful Truth	US
966	The Family (US)	US
967	Thriller (UK)	UK
968	Kraft Television Theatre (1953)	US
969	Dance Fever	US
970	The Cambridge Spies	UK
971	The Funkhousers	US
972	Teknoman	AJ
973	Whirlybirds	US
974	Are You Hot?	US
975	20 Things to Do Before You're 30	UK
976	Beulah	US
977	Big Urban Myth Show	US
978	Matinee Theater	US
979	Hunter (2003)	US
980	To Serve Them All My Days	UK
21912	The Many Adventures of Mr. Mailman	US
982	SpaceCats	US
983	Fruits Basket	JP
984	The Immigrants	US
985	Harry Enfield's Television Programme	UK
986	Skithouse	AU
987	You're On! (1985)	US
988	George Shrinks	US
989	Thunderbirds 2086	JP
990	Ulysses 31	FR
991	Dr. Finlay's Casebook	UK
992	No Bananas	UK
993	William and Mary	UK
21898	Spaanse Droom, De	NL
995	An American in Canada	CA
997	Wavelength	""
998	Phoenix (AU)	AU
999	The Peter Principle	UK
1000	Our World	US
1001	Too Young to Go Steady	US
1002	Strange But True	UK
1003	Ed Stone Is Dead	UK
1004	Gerhard Reinke's Wanderlust	US
16636	Barbara Mandrell and the Mandrell Sisters	US
1006	Hardware	UK
1007	Skirts	AU
1008	Comedy Now	CA
1009	Offenders	UK
1010	Happening '68	US
16900	Color Correction	US
1012	Rubbadubbers	UK
1013	Miami Sands	KE
1014	Girls in Love	UK
1015	American Muscle Car	US
1016	Gold Trails and Ghost Towns	CA
1017	American Juniors	US
1018	Macross 7	JP
1019	Baby Felix	JP
1020	Mushrambo (JP)	JP
1021	Sentimental Journey	JP
1022	Comic Party	JP
1023	Burn It	UK
15206	Hey! Hey! Hey! Music Champ	JP
1026	Fresh Fields	UK
1027	Comedy Inc. (US)	US
1028	Steel Angel Kurumi	JP
1029	The Secret Life of Toys	US
1030	Infinite Ryvius (US)	AJ
1031	Project ARMS	JP
1032	Mr. Personality	US
1033	Hey, Joel!	US
1034	Lavender Castle	UK
1035	Harry Hill's TV Burp	UK
1036	Golden Boy (JP)	JP
1037	Miracle Girls	JP
1038	Shadow Skill	JP
1039	Moo Wop	""
1040	Stingray (1964)	UK
1041	The Murder Game	UK
1042	Angelic Layer	JP
1043	Gate Keepers	JP
1044	Haunted Junction	JP
1045	Princess Nine	JP
1046	Tokyo Underground	JP
1047	Virus Buster Serge	JP
1048	Paradise Hotel	US
1049	Visions	US
1050	Racket Squad	US
1051	IMX	CA
1053	His and Her Circumstances	JP
1054	Legend of Basara	JP
1055	Doggy Fizzle Televizzle	US
1056	Excel Saga (US)	AJ
1057	D*A*A*S Kapital	AU
1058	Hand Maid May	JP
25091	Star Académie (CA)	CA
1060	Kiddy Grade	JP
14567	Gokusen (2002)	JP
1062	Oni	""
1063	SM Girls Saber Marionette R	JP
1064	Vandread (JP)	JP
1065	Noozles	JP
1066	Grease Monkeys	UK
